TXDateTime,EffectDate,Type,CCY,Amount,UserAddr,PoolAddr,BlockHeight,TXHash,Status
2015-04-16T09:48:53Z,2015-04-16,WdOrder1,NBT,0.01,BQjMT2dZoTdtjNQgWzXDUmtBGAt36gXb3x,BGNbLajr7tSD5LEqYmG2hztzciPhmjf4eX,312737,675679dbc8da0d01280958497bdfa534b0a82c7830c833ae9a976b9a9ba0cfca,Confirmed
2015-04-16T10:00:45Z,2015-04-16,WdOrder1,BTC,0.0001,12T4G2x2UvtkRiSoNQ8XHmLqQqcoRhz1u2,3NuyG4RdbaFksCcRuthCAQmx6HfJcJ3Upi,352352,451cad0011aaddf93fc273550322e945bc0b3cc2ae7bc2208a6ba4bbcefaef63,Confirmed
2015-04-16T09:52:36Z,2015-04-16,WdOrder1,BTC,0.0001,1EMhMCB54jagXXhMgCs4Nf85UFQ2CjMJse,3NuyG4RdbaFksCcRuthCAQmx6HfJcJ3Upi,352351,1c312c96e13728e3db7792274c495a379b7ea4f9613edbb4cc5bd3f2e740dcaa,Confirmed
2015-04-16T12:44:29Z,2015-04-16,Withdraw,BTC,4.4785,1EMhMCB54jagXXhMgCs4Nf85UFQ2CjMJse,34p9Noqsy4DE2uFXtdBZr8GNNcacn9g2mL,352368,84bf1bd9aa074d60b423fd5e19d983f953c456aa235a41b7293ef57d9b5cc40e,Confirmed
2015-04-16T12:44:29Z,2015-04-16,Withdraw,BTC,4.8083,12T4G2x2UvtkRiSoNQ8XHmLqQqcoRhz1u2,357mKoMjkkXowJ2HSGjhUV9UXicXW4irWg,352368,9a73f84ac9a21b7fd475160f6a772a51ac30a26f3f65d4b2ce0e0dd3e2aab970,Confirmed
2015-04-16T11:52:51Z,2015-04-16,Withdraw,NBT,2088.8,BQjMT2dZoTdtjNQgWzXDUmtBGAt36gXb3x,BPC8kb16zfmjZPsJfpHBeV3TGwz1AxYkGR,312873,313e63f27156f335daf5eebf21e39a584ee0506df8b816e299b1a46e11cb3c48,Confirmed
