AccDate,NAV,TotalAsset,OutstShares,BTCTier12,BTCTier3,NBTTier12,NBTTier3,BTCPrice,CustodianFee,ManageFee,Status
2015-03-20,1,9082.464,9082.464,0,8,0,7000,260.308,0,0,Confirmed
2015-03-26,1.003,8979.09,9082.464,20.29503,0,3871.643,0,251.66,185.282,54.495,Confirmed
2015-04-02,1.0157,14159.886,14218.235,26.462,9,2426.7652,3000,246.267,398.984,117.349,Confirmed
2015-04-09,1.0551,18482.35,18009.345,10.0036,0.625,11761.68,4141.8,242.635,735.989,216.468,Confirmed
2015-04-16,1.0444,13789.314,13998.272,0.5128,-9.287,17862.442,-2088.79,226.156,1175.869,345.844,Confirmed
