TXDateTime,EffectDate,Type,CCY,Amount,UserAddr,PoolAddr,BlockHeight,TXHash,Status
2015-03-20T02:11:57Z,2015-03-20,Deposit,NBT,1000,BR2ioFJcCBcCmk5NvWWTTwKUzJSU44my3V,BGNbLajr7tSD5LEqYmG2hztzciPhmjf4eX,273806,1e692eddfc00c920aed9a4ea925c4eb1dde06983886b055b750cddfed130b868,Confirmed
2015-03-19T22:34:11Z,2015-03-20,Deposit,NBT,1000,BQuQX8BiXofvLf4Jn7i1iyjQJbV8iPBDaU,BGNbLajr7tSD5LEqYmG2hztzciPhmjf4eX,273585,2d387fc212319ce479318c6547fe2799e2a9a8b5de698190af48e9aef63aa354,Confirmed
2015-03-19T20:49:15Z,2015-03-20,Deposit,NBT,1000,BEnnCiy2XhLDb3bAoAaNGvxpWs6TKBYyPW,BGNbLajr7tSD5LEqYmG2hztzciPhmjf4eX,273494,d745ac20b1910655c24eabb30134cfc5c74902303709ef77111de7fa3f0b2886,Confirmed
2015-03-18T20:24:52Z,2015-03-20,Deposit,NBT,2000,BETHkfzaUfnDkR7yPFq6CMNqPgDQWgqUwh,BGNbLajr7tSD5LEqYmG2hztzciPhmjf4eX,271952,4ac11a79dc0017107c12faf6ca52054df87b947eabe83597dde50d29931d47e6,Confirmed
2015-03-18T11:57:02Z,2015-03-20,Deposit,NBT,2000,BQjMT2dZoTdtjNQgWzXDUmtBGAt36gXb3x,BGNbLajr7tSD5LEqYmG2hztzciPhmjf4eX,271408,8373aa90dca3e98b971ff1919a1b42f08827b9c3bb1182c51bb221bb5a4f50ea,Confirmed
2015-03-19T22:29:54Z,2015-03-20,Deposit,BTC,4,1BEnysbA89Dayx4W4r4bbjYTMyt9DPhNns,3NuyG4RdbaFksCcRuthCAQmx6HfJcJ3Upi,348333,b13a955783a3fd58a6ceab1360dacd58b56a478e1ceb9c1fa116638f6b99c1d3,Confirmed
2015-03-19T05:32:31Z,2015-03-20,Deposit,BTC,4,12T4G2x2UvtkRiSoNQ8XHmLqQqcoRhz1u2,3NuyG4RdbaFksCcRuthCAQmx6HfJcJ3Upi,348235,8bd765d9fe32f6607bd205865ef974e4189eba1c232b2f061293c482ddb9a6fe,Confirmed
