TXDateTime,EffectDate,Type,Pool,CCY,Amount,UserAddr,PoolAddr,BlockHeight,TXHash,Status
2015-05-27T03:52:03Z,2015-05-28,WdOrder1,A,NBT,0.01,BR2ioFJcCBcCmk5NvWWTTwKUzJSU44my3V,BGNbLajr7tSD5LEqYmG2hztzciPhmjf4eX,369938,c4ad1ebd4bd17618dee1a7f048cce0f4feb129d20e634f6936971f425e43a471,Confirmed
2015-05-28T10:28:53Z,2015-05-28,Withdraw1,A,NBT,-1086.8,BR2ioFJcCBcCmk5NvWWTTwKUzJSU44my3V,BLGdraBCznbtQjM6V7jWUyrcn9Uzihy4Y3,371735,b93db3cd08d6693ec096d786e52703631e2ac0923c1612626604507f5753d405,Confirmed
2015-05-27T14:34:22Z,2015-05-28,Deposit,C,NBT,2000,BCkanfxikvHymDKtEP9Yv5TjZHCu7Uf2Sp,BAFCWvEdNWrvMKf8JNA5SFYMR8Zvy7f6oH,370629,95ea78050d349b67fad4a8401a60c2b3153cd4cb15fd62b656c2f21304ba5012,Confirmed
2015-05-27T14:03:30Z,2015-05-28,Deposit,D,NBT,2000,BQjMT2dZoTdtjNQgWzXDUmtBGAt36gXb3x,BBiHdUVB8Sndf1tCNfBNpRZx53pK7Go8JK,370601,2e1bb419b0126a3450b8ebe74be53d6733e183306481b30b07db8c52a96fea09,Confirmed
