TXDateTime,EffectDate,Type,CCY,Amount,UserAddr,PoolAddr,BlockHeight,TXHash,Status
2015-05-21T01:31:38Z,2015-05-21,WdOrder1,NBT,0.01,BMptu4Mzdi63Q8uYaRDmZn8qGApD9JetY6,BGNbLajr7tSD5LEqYmG2hztzciPhmjf4eX,361689,e5fb2fbb9ff8e42735c7daacd8721bf715b83c4e0d30c5308395e1baa88d7f87,Confirmed
2015-05-14T18:29:19Z,2015-05-21,Deposit,NBT,2000,BC6uQNAfDyDP7EQuk2eXH5gAh9VBjGmNv1,BGNbLajr7tSD5LEqYmG2hztzciPhmjf4eX,353038,d922629c45f798c3696e4a712af5619d95dcbdc38bb19717e8aec10dff249d12,Confirmed
2015-05-20T13:41:31Z,2015-05-21,Grant,NBT,1708.2,Coinbase,BSagqXYFAAz4XEXRPPsKCU2rgHYTKJc4Vp,361036,39e9186feae4ff186e7711c670a0172339f059d2ef1ae6edfc1cdf62eeb3d029,Confirmed
2015-05-21T11:21:43Z,2015-05-21,Withdraw1,NBT,-2013.46,BMptu4Mzdi63Q8uYaRDmZn8qGApD9JetY6,BLGdraBCznbtQjM6V7jWUyrcn9Uzihy4Y3,362281,034a8fb6bb771d002a854166a09df8d51222ebe8a6e53a13398aefc6739a10a4,Confirmed
